day,inventory,demand,shortage,holding_cost,ordering_cost,shortage_cost
0,153,47,0,306,0,0
1,98,55,0,502,200,0
2,46,52,0,594,200,0
3,0,58,12,594,200,600
4,0,43,43,594,200,2750
5,0,46,46,594,200,5050
6,0,49,49,594,200,7500
7,250,52,0,1094,200,7500
8,205,45,0,1504,200,7500
9,156,49,0,1816,200,7500
10,113,43,0,2042,200,7500
11,61,52,0,2164,400,7500
12,9,52,0,2182,400,7500
13,0,46,37,2182,400,9350
14,0,54,54,2182,400,12050
15,0,40,40,2182,400,14050
16,0,45,45,2182,400,16300
17,293,46,0,2768,400,16300
18,242,51,0,3252,400,16300
19,178,64,0,3608,400,16300
20,126,52,0,3860,400,16300
21,88,38,0,4036,600,16300
22,40,48,0,4116,600,16300
23,0,58,18,4116,600,17200
24,0,45,45,4116,600,19450
25,0,41,41,4116,600,21500
26,0,56,56,4116,600,24300
27,258,54,0,4632,600,24300
28,202,56,0,5036,600,24300
29,155,47,0,5346,600,24300
30,96,59,0,5538,800,24300
31,50,46,0,5638,800,24300
32,4,46,0,5646,800,24300
33,0,55,51,5646,800,26850
34,0,60,60,5646,800,29850
35,0,40,40,5646,800,31850
36,248,56,0,6142,800,31850
37,192,56,0,6526,800,31850
38,142,50,0,6810,800,31850
39,96,46,0,7002,1000,31850
40,48,48,0,7098,1000,31850
41,4,44,0,7106,1000,31850
42,0,45,41,7106,1000,33900
43,0,63,63,7106,1000,37050
44,0,53,53,7106,1000,39700
45,247,57,0,7600,1000,39700
46,187,60,0,7974,1000,39700
47,141,46,0,8256,1000,39700
48,97,44,0,8450,1200,39700
49,49,48,0,8548,1200,39700
50,9,40,0,8566,1200,39700
51,0,65,56,8566,1200,42500
52,0,50,50,8566,1200,45000
53,0,69,69,8566,1200,48450
54,0,50,50,8566,1200,50950
55,258,45,0,9082,1200,50950
56,206,52,0,9494,1200,50950
57,172,34,0,9838,1200,50950
58,111,61,0,10060,1200,50950
59,70,41,0,10200,1400,50950
60,26,44,0,10252,1400,50950
61,0,47,21,10252,1400,52000
62,0,53,53,10252,1400,54650
63,0,39,39,10252,1400,56600
64,0,46,46,10252,1400,58900
65,0,54,54,10252,1400,61600
66,0,50,50,10252,1400,64100
67,0,53,53,10252,1400,66750
68,276,54,0,10804,1400,66750
69,212,64,0,11228,1400,66750
70,165,47,0,11558,1400,66750
71,120,45,0,11798,1400,66750
72,63,57,0,11924,1600,66750
73,12,51,0,11948,1600,66750
74,0,39,27,11948,1600,68100
75,0,61,61,11948,1600,71150
76,0,47,47,11948,1600,73500
77,0,60,60,11948,1600,76500
78,0,53,53,11948,1600,79150
79,0,52,52,11948,1600,81750
80,298,39,0,12544,1600,81750
81,247,51,0,13038,1600,81750
82,194,53,0,13426,1600,81750
83,139,55,0,13704,1600,81750
84,93,46,0,13890,1800,81750
85,40,53,0,13970,1800,81750
86,1,39,0,13972,1800,81750
87,0,45,44,13972,1800,83950
88,0,60,60,13972,1800,86950
89,0,57,57,13972,1800,89800
90,0,52,52,13972,1800,92400
91,0,43,43,13972,1800,94550
92,262,45,0,14496,1800,94550
93,209,53,0,14914,1800,94550
94,147,62,0,15208,1800,94550
95,99,48,0,15406,2000,94550
96,54,45,0,15514,2000,94550
97,0,58,4,15514,2000,94750
98,0,42,42,15514,2000,96850
99,0,64,64,15514,2000,100050
100,0,51,51,15514,2000,102600
101,0,41,41,15514,2000,104650
102,241,60,0,15996,2000,104650
103,187,54,0,16370,2000,104650
104,140,47,0,16650,2000,104650
105,83,57,0,16816,2200,104650
106,26,57,0,16868,2200,104650
107,0,54,28,16868,2200,106050
108,0,60,60,16868,2200,109050
109,0,47,47,16868,2200,111400
110,0,52,52,16868,2200,114000
111,0,49,49,16868,2200,116450
112,0,45,45,16868,2200,118700
113,288,29,0,17444,2200,118700
114,231,57,0,17906,2200,118700
115,190,41,0,18286,2200,118700
116,134,56,0,18554,2200,118700
117,81,53,0,18716,2400,118700
118,47,34,0,18810,2400,118700
119,0,51,4,18810,2400,118900
120,0,50,50,18810,2400,121400
121,0,57,57,18810,2400,124250
122,0,49,49,18810,2400,126700
123,0,58,58,18810,2400,129600
124,0,48,48,18810,2400,132000
125,0,42,42,18810,2400,134100
126,0,51,51,18810,2400,136650
127,0,53,53,18810,2400,139300
128,0,51,51,18810,2400,141850
129,0,48,48,18810,2400,144250
130,0,47,47,18810,2400,146600
131,286,33,0,19382,2400,146600
132,227,59,0,19836,2400,146600
133,178,49,0,20192,2400,146600
134,128,50,0,20448,2400,146600
135,86,42,0,20620,2600,146600
136,33,53,0,20686,2600,146600
137,0,47,14,20686,2600,147300
138,0,50,50,20686,2600,149800
139,0,53,53,20686,2600,152450
140,0,37,37,20686,2600,154300
141,0,64,64,20686,2600,157500
142,0,48,48,20686,2600,159900
143,0,49,49,20686,2600,162350
144,0,64,64,20686,2600,165550
145,271,43,0,21228,2600,165550
146,232,39,0,21692,2600,165550
147,193,39,0,22078,2600,165550
148,156,37,0,22390,2600,165550
149,98,58,0,22586,2800,165550
150,41,57,0,22668,2800,165550
151,1,40,0,22670,2800,165550
152,0,53,52,22670,2800,168150
153,247,55,0,23164,2800,168150
154,202,45,0,23568,2800,168150
155,147,55,0,23862,2800,168150
156,100,47,0,24062,2800,168150
157,53,47,0,24168,3000,168150
158,0,55,2,24168,3000,168250
159,0,50,50,24168,3000,170750
160,0,46,46,24168,3000,173050
161,0,48,48,24168,3000,175450
162,0,61,61,24168,3000,178500
163,281,66,0,24730,3000,178500
164,228,53,0,25186,3000,178500
165,183,45,0,25552,3000,178500
166,129,54,0,25810,3000,178500
167,90,39,0,25990,3200,178500
168,55,35,0,26100,3200,178500
169,6,49,0,26112,3200,178500
170,0,47,41,26112,3200,180550
171,0,41,41,26112,3200,182600
172,0,52,52,26112,3200,185200
173,0,38,38,26112,3200,187100
174,0,54,54,26112,3200,189800
175,0,47,47,26112,3200,192150
176,263,47,0,26638,3200,192150
177,207,56,0,27052,3200,192150
178,159,48,0,27370,3200,192150
179,119,40,0,27608,3200,192150
180,84,35,0,27776,3400,192150
181,29,55,0,27834,3400,192150
182,0,69,40,27834,3400,194150
183,0,45,45,27834,3400,196400
184,0,37,37,27834,3400,198250
185,0,53,53,27834,3400,200900
186,0,49,49,27834,3400,203350
187,264,52,0,28362,3400,203350
188,231,33,0,28824,3400,203350
189,182,49,0,29188,3400,203350
