day,inventory,demand,shortage,holding_cost,ordering_cost,shortage_cost
0,153,47,0,306,0,0
1,98,55,0,502,200,0
2,46,52,0,594,200,0
3,0,58,12,594,200,1200
4,0,43,43,594,200,5500
5,0,46,46,594,200,10100
6,0,49,49,594,200,15000
7,150,52,0,894,200,15000
8,105,45,0,1104,200,15000
9,56,49,0,1216,400,15000
10,13,43,0,1242,400,15000
11,0,52,39,1242,400,18900
12,0,52,52,1242,400,24100
13,0,46,46,1242,400,28700
14,0,54,54,1242,400,34100
15,204,40,0,1650,400,34100
16,159,45,0,1968,400,34100
17,113,46,0,2194,400,34100
18,62,51,0,2318,600,34100
19,24,38,0,2366,600,34100
20,0,33,9,2366,600,35000
21,0,48,48,2366,600,39800
22,0,58,58,2366,600,45600
23,0,45,45,2366,600,50100
24,0,41,41,2366,600,54200
25,0,56,56,2366,600,59800
26,184,54,0,2734,600,59800
27,128,56,0,2990,600,59800
28,81,47,0,3152,800,59800
29,22,59,0,3196,800,59800
30,0,46,24,3196,800,62200
31,0,46,46,3196,800,66800
32,0,55,55,3196,800,72300
33,0,60,60,3196,800,78300
34,0,40,40,3196,800,82300
35,163,56,0,3522,800,82300
36,107,56,0,3736,800,82300
37,57,50,0,3850,1000,82300
38,11,46,0,3872,1000,82300
39,0,61,50,3872,1000,87300
40,0,48,48,3872,1000,92100
41,0,44,44,3872,1000,96500
42,0,45,45,3872,1000,101000
43,0,63,63,3872,1000,107300
44,190,53,0,4252,1000,107300
45,133,57,0,4518,1000,107300
46,73,60,0,4664,1200,107300
47,27,46,0,4718,1200,107300
48,0,44,17,4718,1200,109000
49,0,48,48,4718,1200,113800
50,0,40,40,4718,1200,117800
51,0,65,65,4718,1200,124300
52,177,50,0,5072,1200,124300
53,108,69,0,5288,1200,124300
54,58,50,0,5404,1400,124300
55,24,34,0,5452,1400,124300
56,0,61,37,5452,1400,128000
57,0,41,41,5452,1400,132100
58,0,54,54,5452,1400,137500
59,0,44,44,5452,1400,141900
60,0,47,47,5452,1400,146600
61,189,53,0,5830,1400,146600
62,150,39,0,6130,1400,146600
63,104,46,0,6338,1400,146600
64,50,54,0,6438,1600,146600
65,0,50,0,6438,1600,146600
66,0,53,53,6438,1600,151900
67,0,54,54,6438,1600,157300
68,0,64,64,6438,1600,163700
69,0,47,47,6438,1600,168400
70,0,45,45,6438,1600,172900
71,0,57,57,6438,1600,178600
72,0,51,51,6438,1600,183700
73,0,39,39,6438,1600,187600
74,0,61,61,6438,1600,193700
75,203,47,0,6844,1600,193700
76,143,60,0,7130,1600,193700
77,90,53,0,7310,1800,193700
78,39,51,0,7388,1800,193700
79,0,53,14,7388,1800,195100
80,0,55,55,7388,1800,200600
81,0,46,46,7388,1800,205200
82,0,53,53,7388,1800,210500
83,0,53,53,7388,1800,215800
84,171,39,0,7730,1800,215800
85,126,45,0,7982,1800,215800
86,66,60,0,8114,2000,215800
87,9,57,0,8132,2000,215800
88,0,52,43,8132,2000,220100
89,0,43,43,8132,2000,224400
90,0,45,45,8132,2000,228900
91,181,53,0,8494,2000,228900
92,119,62,0,8732,2000,228900
93,71,48,0,8874,2200,228900
94,13,58,0,8900,2200,228900
95,0,42,29,8900,2200,231800
96,0,64,64,8900,2200,238200
97,0,51,51,8900,2200,243300
98,188,41,0,9276,2200,243300
99,128,60,0,9532,2200,243300
100,74,54,0,9680,2400,243300
101,27,47,0,9734,2400,243300
102,0,57,30,9734,2400,246300
103,176,50,0,10086,2400,246300
104,119,57,0,10324,2400,246300
105,65,54,0,10454,2600,246300
106,18,47,0,10490,2600,246300
107,0,52,34,10490,2600,249700
108,0,49,49,10490,2600,254600
109,0,45,45,10490,2600,259100
110,0,29,29,10490,2600,262000
111,178,57,0,10846,2600,262000
112,137,41,0,11120,2600,262000
113,81,56,0,11282,2800,262000
114,28,53,0,11338,2800,262000
115,0,34,6,11338,2800,262600
116,0,51,51,11338,2800,267700
117,0,50,50,11338,2800,272700
118,0,57,57,11338,2800,278400
119,0,49,49,11338,2800,283300
120,0,58,58,11338,2800,289100
121,171,48,0,11680,2800,289100
122,129,42,0,11938,2800,289100
123,78,51,0,12094,3000,289100
124,27,51,0,12148,3000,289100
125,0,48,21,12148,3000,291200
126,0,47,47,12148,3000,295900
127,189,33,0,12526,3000,295900
128,130,59,0,12786,3000,295900
129,81,49,0,12948,3200,295900
130,31,50,0,13010,3200,295900
131,0,42,11,13010,3200,297000
132,0,48,48,13010,3200,301800
133,0,53,53,13010,3200,307100
134,0,47,47,13010,3200,311800
135,0,50,50,13010,3200,316800
136,0,53,53,13010,3200,322100
137,182,37,0,13374,3200,322100
138,118,64,0,13610,3200,322100
139,70,48,0,13750,3400,322100
140,6,64,0,13762,3400,322100
141,0,43,37,13762,3400,325800
142,0,39,39,13762,3400,329700
143,0,39,39,13762,3400,333600
144,0,37,37,13762,3400,337300
145,0,58,58,13762,3400,343100
146,0,57,57,13762,3400,348800
147,0,40,40,13762,3400,352800
148,0,53,53,13762,3400,358100
149,0,55,55,13762,3400,363600
150,185,45,0,14132,3400,363600
151,130,55,0,14392,3400,363600
152,83,47,0,14558,3600,363600
153,36,47,0,14630,3600,363600
154,0,59,23,14630,3600,365900
155,162,55,0,14954,3600,365900
156,112,50,0,15178,3600,365900
157,66,46,0,15310,3800,365900
158,0,66,0,15310,3800,365900
159,0,53,53,15310,3800,371200
160,0,45,45,15310,3800,375700
161,0,54,54,15310,3800,381100
162,0,39,39,15310,3800,385000
163,0,35,35,15310,3800,388500
164,185,49,0,15680,3800,388500
165,138,47,0,15956,3800,388500
166,97,41,0,16150,4000,388500
167,45,52,0,16240,4000,388500
168,7,38,0,16254,4000,388500
169,0,54,47,16254,4000,393200
170,0,47,47,16254,4000,397900
171,0,47,47,16254,4000,402600
172,147,56,0,16548,4000,402600
173,99,48,0,16746,4200,402600
174,64,35,0,16874,4200,402600
175,24,40,0,16922,4200,402600
176,0,55,31,16922,4200,405700
177,0,69,69,16922,4200,412600
178,0,45,45,16922,4200,417100
179,164,37,0,17250,4200,417100
180,111,53,0,17472,4200,417100
181,62,49,0,17596,4400,417100
182,10,52,0,17616,4400,417100
183,0,33,23,17616,4400,419400
184,0,49,49,17616,4400,424300
185,193,45,0,18002,4400,424300
186,144,49,0,18290,4400,424300
187,92,52,0,18474,4600,424300
188,46,46,0,18566,4600,424300
189,0,54,8,18566,4600,425100
