day,inventory,demand,shortage,holding_cost,ordering_cost,shortage_cost
0,153,47,0,765,0,0
1,98,55,0,1255,200,0
2,46,52,0,1485,200,0
3,0,58,12,1485,200,600
4,0,43,43,1485,200,2750
5,0,46,46,1485,200,5050
6,0,49,49,1485,200,7500
7,150,52,0,2235,200,7500
8,105,45,0,2760,200,7500
9,56,49,0,3040,400,7500
10,13,43,0,3105,400,7500
11,0,52,39,3105,400,9450
12,0,52,52,3105,400,12050
13,0,46,46,3105,400,14350
14,0,54,54,3105,400,17050
15,204,40,0,4125,400,17050
16,159,45,0,4920,400,17050
17,113,46,0,5485,400,17050
18,62,51,0,5795,600,17050
19,24,38,0,5915,600,17050
20,0,33,9,5915,600,17500
21,0,48,48,5915,600,19900
22,0,58,58,5915,600,22800
23,0,45,45,5915,600,25050
24,0,41,41,5915,600,27100
25,0,56,56,5915,600,29900
26,184,54,0,6835,600,29900
27,128,56,0,7475,600,29900
28,81,47,0,7880,800,29900
29,22,59,0,7990,800,29900
30,0,46,24,7990,800,31100
31,0,46,46,7990,800,33400
32,0,55,55,7990,800,36150
33,0,60,60,7990,800,39150
34,0,40,40,7990,800,41150
35,163,56,0,8805,800,41150
36,107,56,0,9340,800,41150
37,57,50,0,9625,1000,41150
38,11,46,0,9680,1000,41150
39,0,61,50,9680,1000,43650
40,0,48,48,9680,1000,46050
41,0,44,44,9680,1000,48250
42,0,45,45,9680,1000,50500
43,0,63,63,9680,1000,53650
44,190,53,0,10630,1000,53650
45,133,57,0,11295,1000,53650
46,73,60,0,11660,1200,53650
47,27,46,0,11795,1200,53650
48,0,44,17,11795,1200,54500
49,0,48,48,11795,1200,56900
50,0,40,40,11795,1200,58900
51,0,65,65,11795,1200,62150
52,177,50,0,12680,1200,62150
53,108,69,0,13220,1200,62150
54,58,50,0,13510,1400,62150
55,24,34,0,13630,1400,62150
56,0,61,37,13630,1400,64000
57,0,41,41,13630,1400,66050
58,0,54,54,13630,1400,68750
59,0,44,44,13630,1400,70950
60,0,47,47,13630,1400,73300
61,189,53,0,14575,1400,73300
62,150,39,0,15325,1400,73300
63,104,46,0,15845,1400,73300
64,50,54,0,16095,1600,73300
65,0,50,0,16095,1600,73300
66,0,53,53,16095,1600,75950
67,0,54,54,16095,1600,78650
68,0,64,64,16095,1600,81850
69,0,47,47,16095,1600,84200
70,0,45,45,16095,1600,86450
71,0,57,57,16095,1600,89300
72,0,51,51,16095,1600,91850
73,0,39,39,16095,1600,93800
74,0,61,61,16095,1600,96850
75,203,47,0,17110,1600,96850
76,143,60,0,17825,1600,96850
77,90,53,0,18275,1800,96850
78,39,51,0,18470,1800,96850
79,0,53,14,18470,1800,97550
80,0,55,55,18470,1800,100300
81,0,46,46,18470,1800,102600
82,0,53,53,18470,1800,105250
83,0,53,53,18470,1800,107900
84,171,39,0,19325,1800,107900
85,126,45,0,19955,1800,107900
86,66,60,0,20285,2000,107900
87,9,57,0,20330,2000,107900
88,0,52,43,20330,2000,110050
89,0,43,43,20330,2000,112200
90,0,45,45,20330,2000,114450
91,181,53,0,21235,2000,114450
92,119,62,0,21830,2000,114450
93,71,48,0,22185,2200,114450
94,13,58,0,22250,2200,114450
95,0,42,29,22250,2200,115900
96,0,64,64,22250,2200,119100
97,0,51,51,22250,2200,121650
98,188,41,0,23190,2200,121650
99,128,60,0,23830,2200,121650
100,74,54,0,24200,2400,121650
101,27,47,0,24335,2400,121650
102,0,57,30,24335,2400,123150
103,176,50,0,25215,2400,123150
104,119,57,0,25810,2400,123150
105,65,54,0,26135,2600,123150
106,18,47,0,26225,2600,123150
107,0,52,34,26225,2600,124850
108,0,49,49,26225,2600,127300
109,0,45,45,26225,2600,129550
110,0,29,29,26225,2600,131000
111,178,57,0,27115,2600,131000
112,137,41,0,27800,2600,131000
113,81,56,0,28205,2800,131000
114,28,53,0,28345,2800,131000
115,0,34,6,28345,2800,131300
116,0,51,51,28345,2800,133850
117,0,50,50,28345,2800,136350
118,0,57,57,28345,2800,139200
119,0,49,49,28345,2800,141650
120,0,58,58,28345,2800,144550
121,171,48,0,29200,2800,144550
122,129,42,0,29845,2800,144550
123,78,51,0,30235,3000,144550
124,27,51,0,30370,3000,144550
125,0,48,21,30370,3000,145600
126,0,47,47,30370,3000,147950
127,189,33,0,31315,3000,147950
128,130,59,0,31965,3000,147950
129,81,49,0,32370,3200,147950
130,31,50,0,32525,3200,147950
131,0,42,11,32525,3200,148500
132,0,48,48,32525,3200,150900
133,0,53,53,32525,3200,153550
134,0,47,47,32525,3200,155900
135,0,50,50,32525,3200,158400
136,0,53,53,32525,3200,161050
137,182,37,0,33435,3200,161050
138,118,64,0,34025,3200,161050
139,70,48,0,34375,3400,161050
140,6,64,0,34405,3400,161050
141,0,43,37,34405,3400,162900
142,0,39,39,34405,3400,164850
143,0,39,39,34405,3400,166800
144,0,37,37,34405,3400,168650
145,0,58,58,34405,3400,171550
146,0,57,57,34405,3400,174400
147,0,40,40,34405,3400,176400
148,0,53,53,34405,3400,179050
149,0,55,55,34405,3400,181800
150,185,45,0,35330,3400,181800
151,130,55,0,35980,3400,181800
152,83,47,0,36395,3600,181800
153,36,47,0,36575,3600,181800
154,0,59,23,36575,3600,182950
155,162,55,0,37385,3600,182950
156,112,50,0,37945,3600,182950
157,66,46,0,38275,3800,182950
158,0,66,0,38275,3800,182950
159,0,53,53,38275,3800,185600
160,0,45,45,38275,3800,187850
161,0,54,54,38275,3800,190550
162,0,39,39,38275,3800,192500
163,0,35,35,38275,3800,194250
164,185,49,0,39200,3800,194250
165,138,47,0,39890,3800,194250
166,97,41,0,40375,4000,194250
167,45,52,0,40600,4000,194250
168,7,38,0,40635,4000,194250
169,0,54,47,40635,4000,196600
170,0,47,47,40635,4000,198950
171,0,47,47,40635,4000,201300
172,147,56,0,41370,4000,201300
173,99,48,0,41865,4200,201300
174,64,35,0,42185,4200,201300
175,24,40,0,42305,4200,201300
176,0,55,31,42305,4200,202850
177,0,69,69,42305,4200,206300
178,0,45,45,42305,4200,208550
179,164,37,0,43125,4200,208550
180,111,53,0,43680,4200,208550
181,62,49,0,43990,4400,208550
182,10,52,0,44040,4400,208550
183,0,33,23,44040,4400,209700
184,0,49,49,44040,4400,212150
185,193,45,0,45005,4400,212150
186,144,49,0,45725,4400,212150
187,92,52,0,46185,4600,212150
188,46,46,0,46415,4600,212150
189,0,54,8,46415,4600,212550
190,0,61,61,46415,4600,215600
191,0,52,52,46415,4600,218200
192,0,63,63,46415,4600,221350
193,0,33,33,46415,4600,223000
194,161,47,0,47220,4600,223000
195,109,52,0,47765,4600,223000
196,51,58,0,48020,4800,223000
197,3,48,0,48035,4800,223000
198,0,58,55,48035,4800,225750
199,0,49,49,48035,4800,228200
200,0,67,67,48035,4800,231550
201,0,44,44,48035,4800,233750
202,0,52,52,48035,4800,236350
203,0,40,40,48035,4800,238350
204,0,50,50,48035,4800,240850
205,0,50,50,48035,4800,243350
206,198,51,0,49025,4800,243350
207,138,60,0,49715,4800,243350
208,97,41,0,50200,5000,243350
209,43,54,0,50415,5000,243350
210,2,41,0,50425,5000,243350
211,0,47,45,50425,5000,245600
212,0,48,48,50425,5000,248000
213,0,61,61,50425,5000,251050
214,0,50,50,50425,5000,253550
215,0,48,48,50425,5000,255950
216,153,50,0,51190,5000,255950
217,103,50,0,51705,5000,255950
218,50,53,0,51955,5200,255950
219,13,37,0,52020,5200,255950
220,0,41,28,52020,5200,257350
221,0,41,41,52020,5200,259400
222,0,43,43,52020,5200,261550
223,0,61,61,52020,5200,264600
224,0,53,53,52020,5200,267250
225,0,43,43,52020,5200,269400
226,0,42,42,52020,5200,271500
227,208,42,0,53060,5200,271500
228,168,40,0,53900,5200,271500
229,125,43,0,54525,5200,271500
230,75,50,0,54900,5400,271500
231,39,36,0,55095,5400,271500
232,0,57,18,55095,5400,272400
233,0,43,43,55095,5400,274550
234,0,47,47,55095,5400,276900
235,173,52,0,55960,5400,276900
236,124,49,0,56580,5400,276900
237,93,31,0,57045,5600,276900
238,43,50,0,57260,5600,276900
239,3,40,0,57275,5600,276900
240,0,51,48,57275,5600,279300
241,0,45,45,57275,5600,281550
242,0,43,43,57275,5600,283700
243,0,52,52,57275,5600,286300
244,151,56,0,58030,5600,286300
245,113,38,0,58595,5600,286300
246,61,52,0,58900,5800,286300
247,16,45,0,58980,5800,286300
248,0,53,37,58980,5800,288150
249,0,52,52,58980,5800,290750
250,200,39,0,59980,5800,290750
251,156,44,0,60760,5800,290750
252,113,43,0,61325,5800,290750
253,75,38,0,61700,6000,290750
254,35,40,0,61875,6000,290750
255,0,57,22,61875,6000,291850
256,0,42,42,61875,6000,293950
257,0,63,63,61875,6000,297100
258,0,51,51,61875,6000,299650
259,169,56,0,62720,6000,299650
260,123,46,0,63335,6000,299650
261,73,50,0,63700,6200,299650
262,28,45,0,63840,6200,299650
263,0,42,14,63840,6200,300350
264,0,51,51,63840,6200,302900
265,0,46,46,63840,6200,305200
266,0,46,46,63840,6200,307500
267,0,45,45,63840,6200,309750
268,171,56,0,64695,6200,309750
269,122,49,0,65305,6200,309750
270,75,47,0,65680,6400,309750
271,35,40,0,65855,6400,309750
272,0,64,29,65855,6400,311200
273,0,51,51,65855,6400,313750
274,0,41,41,65855,6400,315800
275,182,43,0,66765,6400,315800
276,140,42,0,67465,6400,315800
277,87,53,0,67900,6600,315800
278,39,48,0,68095,6600,315800
279,0,49,10,68095,6600,316300
280,0,49,49,68095,6600,318750
281,0,55,55,68095,6600,321500
282,0,44,44,68095,6600,323700
283,0,47,47,68095,6600,326050
284,0,61,61,68095,6600,329100
285,160,53,0,68895,6600,329100
286,119,41,0,69490,6600,329100
287,67,52,0,69825,6800,329100
288,7,60,0,69860,6800,329100
289,0,41,34,69860,6800,330800
290,0,44,44,69860,6800,333000
291,0,47,47,69860,6800,335350
292,0,40,40,69860,6800,337350
293,192,41,0,70820,6800,337350
294,135,57,0,71495,6800,337350
295,91,44,0,71950,7000,337350
296,37,54,0,72135,7000,337350
297,0,44,7,72135,7000,337700
298,0,43,43,72135,7000,339850
299,0,52,52,72135,7000,342450
300,0,49,49,72135,7000,344900
301,0,42,42,72135,7000,347000
302,0,50,50,72135,7000,349500
303,146,63,0,72865,7000,349500
304,92,54,0,73325,7200,349500
305,40,52,0,73525,7200,349500
306,0,48,8,73525,7200,349900
307,0,49,49,73525,7200,352350
308,0,59,59,73525,7200,355300
309,0,52,52,73525,7200,357900
310,0,35,35,73525,7200,359650
311,0,57,57,73525,7200,362500
312,0,46,46,73525,7200,364800
313,157,51,0,74310,7200,364800
314,110,47,0,74860,7200,364800
315,55,55,0,75135,7400,364800
316,14,41,0,75205,7400,364800
317,0,50,36,75205,7400,366600
318,0,62,62,75205,7400,369700
319,0,52,52,75205,7400,372300
320,0,41,41,75205,7400,374350
321,195,50,0,76180,7400,374350
322,158,37,0,76970,7400,374350
323,115,43,0,77545,7400,374350
324,64,51,0,77865,7600,374350
325,8,56,0,77905,7600,374350
326,0,50,42,77905,7600,376450
327,188,48,0,78845,7600,376450
328,146,42,0,79575,7600,376450
329,99,47,0,80070,7800,376450
330,44,55,0,80290,7800,376450
331,0,44,0,80290,7800,376450
332,0,57,57,80290,7800,379300
333,148,53,0,81030,7800,379300
334,109,39,0,81575,7800,379300
335,51,58,0,81830,8000,379300
336,0,54,3,81830,8000,379450
337,0,45,45,81830,8000,381700
338,0,43,43,81830,8000,383850
339,0,43,43,81830,8000,386000
340,0,48,48,81830,8000,388400
341,0,57,57,81830,8000,391250
342,0,45,45,81830,8000,393500
343,0,52,52,81830,8000,396100
344,0,53,53,81830,8000,398750
345,198,51,0,82820,8000,398750
346,142,56,0,83530,8000,398750
347,83,59,0,83945,8200,398750
348,35,48,0,84120,8200,398750
349,0,45,10,84120,8200,399250
350,0,53,53,84120,8200,401900
351,0,41,41,84120,8200,403950
352,0,42,42,84120,8200,406050
353,0,40,40,84120,8200,408050
354,172,45,0,84980,8200,408050
355,119,53,0,85575,8200,408050
356,76,43,0,85955,8400,408050
357,17,59,0,86040,8400,408050
358,0,52,35,86040,8400,409800
359,0,48,48,86040,8400,412200
360,0,50,50,86040,8400,414700
361,0,42,42,86040,8400,416800
362,0,38,38,86040,8400,418700
363,180,44,0,86940,8400,418700
364,135,45,0,87615,8400,418700
