day,inventory,demand,shortage,holding_cost,ordering_cost,shortage_cost
0,153,47,0,306,0,0
1,98,55,0,502,200,0
2,46,52,0,594,200,0
3,0,58,12,594,200,600
4,0,43,43,594,200,2750
5,0,46,46,594,200,5050
6,0,49,49,594,200,7500
7,150,52,0,894,200,7500
8,105,45,0,1104,400,7500
9,56,49,0,1216,400,7500
10,13,43,0,1242,400,7500
11,0,52,39,1242,400,9450
12,0,52,52,1242,400,12050
13,0,46,46,1242,400,14350
14,141,54,0,1524,400,14350
15,101,40,0,1726,600,14350
16,55,46,0,1836,600,14350
17,4,51,0,1844,600,14350
18,0,64,60,1844,600,17350
19,0,52,52,1844,600,19950
20,0,38,38,1844,600,21850
21,0,33,33,1844,600,23500
22,0,48,48,1844,600,25900
23,141,58,0,2126,600,25900
24,96,45,0,2318,800,25900
25,55,41,0,2428,800,25900
26,0,56,1,2428,800,25950
27,0,54,54,2428,800,28650
28,148,56,0,2724,800,28650
29,101,47,0,2926,1000,28650
30,55,46,0,3036,1000,28650
31,9,46,0,3054,1000,28650
32,0,55,46,3054,1000,30950
33,0,60,60,3054,1000,33950
34,0,40,40,3054,1000,35950
35,0,56,56,3054,1000,38750
36,143,56,0,3340,1000,38750
37,93,50,0,3526,1200,38750
38,47,46,0,3620,1200,38750
39,0,61,14,3620,1200,39450
40,0,48,48,3620,1200,41850
41,0,44,44,3620,1200,44050
42,0,45,45,3620,1200,46300
43,0,63,63,3620,1200,49450
44,0,53,53,3620,1200,52100
45,150,57,0,3920,1200,52100
46,90,60,0,4100,1400,52100
47,46,44,0,4192,1400,52100
48,0,48,2,4192,1400,52200
49,0,40,40,4192,1400,54200
50,0,65,65,4192,1400,57450
51,160,50,0,4512,1400,57450
52,91,69,0,4694,1600,57450
53,41,50,0,4776,1600,57450
54,0,45,4,4776,1600,57650
55,0,52,52,4776,1600,60250
56,0,34,34,4776,1600,61950
57,0,61,61,4776,1600,65000
58,168,41,0,5112,1600,65000
59,114,54,0,5340,1800,65000
60,67,47,0,5474,1800,65000
61,14,53,0,5502,1800,65000
62,0,39,25,5502,1800,66250
63,0,46,46,5502,1800,68550
64,0,54,54,5502,1800,71250
65,0,50,50,5502,1800,73750
66,0,53,53,5502,1800,76400
67,132,54,0,5766,1800,76400
68,68,64,0,5902,2000,76400
69,21,47,0,5944,2000,76400
70,0,45,24,5944,2000,77600
71,0,57,57,5944,2000,80450
72,0,51,51,5944,2000,83000
73,193,39,0,6330,2000,83000
74,132,61,0,6594,2000,83000
75,85,47,0,6764,2200,83000
76,25,60,0,6814,2200,83000
77,0,53,28,6814,2200,84400
78,0,52,52,6814,2200,87000
79,0,39,39,6814,2200,88950
80,0,51,51,6814,2200,91500
81,0,53,53,6814,2200,94150
82,0,55,55,6814,2200,96900
83,169,46,0,7152,2200,96900
84,116,53,0,7384,2400,96900
85,63,53,0,7510,2400,96900
86,24,39,0,7558,2400,96900
87,0,45,21,7558,2400,97950
88,0,60,60,7558,2400,100950
89,0,57,57,7558,2400,103800
90,0,52,52,7558,2400,106400
91,141,43,0,7840,2400,106400
92,96,45,0,8032,2600,106400
93,34,62,0,8100,2600,106400
94,0,48,14,8100,2600,107100
95,0,45,45,8100,2600,109350
96,146,58,0,8392,2600,109350
97,104,42,0,8600,2800,109350
98,40,64,0,8680,2800,109350
99,0,51,11,8680,2800,109900
100,0,41,41,8680,2800,111950
101,0,60,60,8680,2800,114950
102,0,54,54,8680,2800,117650
103,0,47,47,8680,2800,120000
104,139,57,0,8958,2800,120000
105,89,50,0,9136,3000,120000
106,35,54,0,9206,3000,120000
107,0,60,25,9206,3000,121250
108,0,47,47,9206,3000,123600
109,0,52,52,9206,3000,126200
110,0,49,49,9206,3000,128650
111,0,45,45,9206,3000,130900
112,0,29,29,9206,3000,132350
113,154,57,0,9514,3000,132350
114,113,41,0,9740,3200,132350
115,57,56,0,9854,3200,132350
116,4,53,0,9862,3200,132350
117,0,34,30,9862,3200,133850
118,0,51,51,9862,3200,136400
119,0,50,50,9862,3200,138900
120,0,57,57,9862,3200,141750
121,0,49,49,9862,3200,144200
122,0,58,58,9862,3200,147100
123,139,48,0,10140,3200,147100
124,97,42,0,10334,3400,147100
125,44,53,0,10422,3400,147100
126,0,51,7,10422,3400,147450
127,0,48,48,10422,3400,149850
128,0,47,47,10422,3400,152200
129,0,33,33,10422,3400,153850
130,0,59,59,10422,3400,156800
131,0,49,49,10422,3400,159250
132,0,50,50,10422,3400,161750
133,0,42,42,10422,3400,163850
134,155,48,0,10732,3400,163850
135,102,53,0,10936,3600,163850
136,55,47,0,11046,3600,163850
137,5,50,0,11056,3600,163850
138,0,53,48,11056,3600,166250
139,0,37,37,11056,3600,168100
140,0,64,64,11056,3600,171300
141,0,48,48,11056,3600,173700
142,149,49,0,11354,3600,173700
143,85,64,0,11524,3800,173700
144,48,37,0,11620,3800,173700
145,0,58,10,11620,3800,174200
146,0,57,57,11620,3800,177050
147,0,40,40,11620,3800,179050
148,0,53,53,11620,3800,181700
149,0,55,55,11620,3800,184450
150,170,45,0,11960,3800,184450
151,115,55,0,12190,4000,184450
152,68,47,0,12326,4000,184450
153,21,47,0,12368,4000,184450
154,0,59,38,12368,4000,186350
155,0,55,55,12368,4000,189100
156,135,50,0,12638,4000,189100
157,89,46,0,12816,4200,189100
158,23,66,0,12862,4200,189100
159,0,53,30,12862,4200,190600
160,0,45,45,12862,4200,192850
161,0,54,54,12862,4200,195550
162,0,39,39,12862,4200,197500
163,0,35,35,12862,4200,199250
164,162,49,0,13186,4200,199250
165,115,47,0,13416,4400,199250
166,74,41,0,13564,4400,199250
167,22,52,0,13608,4400,199250
168,0,38,16,13608,4400,200050
169,0,54,54,13608,4400,202750
170,0,47,47,13608,4400,205100
171,138,47,0,13884,4400,205100
172,82,56,0,14048,4600,205100
173,42,40,0,14132,4600,205100
174,7,35,0,14146,4600,205100
175,0,40,33,14146,4600,206750
176,0,55,55,14146,4600,209500
177,0,69,69,14146,4600,212950
178,0,45,45,14146,4600,215200
179,0,37,37,14146,4600,217050
180,165,53,0,14476,4600,217050
181,116,49,0,14708,4800,217050
182,64,52,0,14836,4800,217050
183,31,33,0,14898,4800,217050
184,0,49,18,14898,4800,217950
185,0,45,45,14898,4800,220200
186,0,49,49,14898,4800,222650
187,132,52,0,15162,4800,222650
188,78,54,0,15318,5000,222650
