day,inventory,demand,shortage,holding_cost,ordering_cost,shortage_cost
0,133,67,0,266,0,0
1,57,76,0,380,200,0
2,0,72,15,380,200,750
3,0,79,79,380,200,4700
4,0,61,61,380,200,7750
5,0,65,65,380,200,11000
6,0,68,68,380,200,14400
7,170,73,0,720,200,14400
8,105,65,0,930,200,14400
9,36,69,0,1002,400,14400
10,0,62,26,1002,400,15700
11,0,72,72,1002,400,19300
12,0,73,73,1002,400,22950
13,0,65,65,1002,400,26200
14,0,75,75,1002,400,29950
15,205,59,0,1412,400,29950
16,141,64,0,1694,400,29950
17,76,65,0,1846,600,29950
18,4,72,0,1854,600,29950
19,0,56,52,1854,600,32550
20,0,50,50,1854,600,35050
21,157,67,0,2168,600,35050
22,78,79,0,2324,800,35050
23,14,64,0,2352,800,35050
24,0,59,45,2352,800,37300
25,0,77,77,2352,800,41150
26,0,75,75,2352,800,44900
27,0,77,77,2352,800,48750
28,0,66,66,2352,800,52050
29,141,81,0,2634,800,52050
30,75,66,0,2784,1000,52050
31,0,76,1,2784,1000,52100
32,0,82,82,2784,1000,56200
33,0,58,58,2784,1000,59100
34,148,77,0,3080,1000,59100
35,71,77,0,3222,1200,59100
36,1,70,0,3224,1200,59100
37,0,65,64,3224,1200,62300
38,0,83,83,3224,1200,66450
39,161,68,0,3546,1200,66450
40,98,63,0,3742,1400,66450
41,13,85,0,3768,1400,66450
42,0,73,60,3768,1400,69450
43,0,78,78,3768,1400,73350
44,0,82,82,3768,1400,77450
45,137,65,0,4042,1400,77450
46,74,63,0,4190,1600,77450
47,6,68,0,4202,1600,77450
48,0,58,52,4202,1600,80050
49,0,87,87,4202,1600,84400
50,0,70,70,4202,1600,87900
51,159,67,0,4520,1600,87900
52,67,92,0,4654,1800,87900
53,3,64,0,4660,1800,87900
54,0,73,70,4660,1800,91400
55,182,51,0,5024,1800,91400
56,99,83,0,5222,2000,91400
57,39,60,0,5300,2000,91400
58,0,74,35,5300,2000,93150
59,0,63,63,5300,2000,96300
60,0,67,67,5300,2000,99650
61,0,73,73,5300,2000,103300
62,136,65,0,5572,2000,103300
63,62,74,0,5696,2200,103300
64,0,74,12,5696,2200,103900
65,0,75,75,5696,2200,107650
66,152,86,0,6000,2200,107650
67,86,66,0,6172,2400,107650
68,1,85,0,6174,2400,107650
69,0,64,63,6174,2400,110800
70,0,79,79,6174,2400,114750
71,0,71,71,6174,2400,118300
72,0,57,57,6174,2400,121150
73,0,83,83,6174,2400,125300
74,148,66,0,6470,2400,125300
75,66,82,0,6602,2600,125300
76,0,73,7,6602,2600,125650
77,0,57,57,6602,2600,128500
78,0,71,71,6602,2600,132050
79,0,74,74,6602,2600,135750
80,159,75,0,6920,2600,135750
81,93,66,0,7106,2800,135750
82,19,74,0,7144,2800,135750
83,0,74,55,7144,2800,138500
84,0,57,57,7144,2800,141350
85,0,64,64,7144,2800,144550
86,0,82,82,7144,2800,148650
87,0,78,78,7144,2800,152550
88,135,72,0,7414,2800,152550
89,73,62,0,7560,3000,152550
90,0,84,11,7560,3000,153100
91,0,68,68,7560,3000,156500
92,0,65,65,7560,3000,159750
93,147,80,0,7854,3000,159750
94,86,61,0,8026,3200,159750
95,0,86,0,8026,3200,159750
96,0,72,72,8026,3200,163350
97,0,59,59,8026,3200,166300
98,0,81,81,8026,3200,170350
99,0,75,75,8026,3200,174100
100,0,66,66,8026,3200,177400
101,136,78,0,8298,3200,177400
102,66,70,0,8430,3400,177400
103,0,75,9,8430,3400,177850
104,0,82,82,8430,3400,181950
105,0,67,67,8430,3400,185300
106,0,72,72,8430,3400,188900
107,0,69,69,8430,3400,192350
108,0,64,64,8430,3400,195550
109,0,44,44,8430,3400,197750
110,155,79,0,8740,3400,197750
111,96,59,0,8932,3600,197750
112,19,77,0,8970,3600,197750
113,0,73,54,8970,3600,200450
114,0,52,52,8970,3600,203050
115,0,71,71,8970,3600,206600
116,0,70,70,8970,3600,210100
117,0,78,78,8970,3600,214000
118,0,68,68,8970,3600,217400
119,0,79,79,8970,3600,221350
120,136,68,0,9242,3600,221350
121,76,60,0,9394,3800,221350
122,2,74,0,9398,3800,221350
123,0,71,69,9398,3800,224800
124,0,68,68,9398,3800,228200
125,0,66,66,9398,3800,231500
126,0,50,50,9398,3800,234000
127,0,80,80,9398,3800,238000
128,0,69,69,9398,3800,241450
129,0,70,70,9398,3800,244950
130,0,61,61,9398,3800,248000
131,157,67,0,9712,3800,248000
132,84,73,0,9880,4000,248000
133,17,67,0,9914,4000,248000
134,0,70,53,9914,4000,250650
135,0,74,74,9914,4000,254350
136,0,54,54,9914,4000,257050
137,0,87,87,9914,4000,261400
138,0,67,67,9914,4000,264750
139,147,69,0,10208,4000,264750
140,60,87,0,10328,4200,264750
141,5,55,0,10338,4200,264750
142,0,80,75,10338,4200,268500
143,0,79,79,10338,4200,272450
144,0,58,58,10338,4200,275350
145,0,73,73,10338,4200,279000
146,0,76,76,10338,4200,282800
147,176,64,0,10690,4200,282800
148,100,76,0,10890,4200,282800
149,33,67,0,10956,4400,282800
150,0,66,33,10956,4400,284450
151,0,80,80,10956,4400,288450
152,0,76,76,10956,4400,292250
153,0,70,70,10956,4400,295750
154,202,65,0,11360,4400,295750
155,135,67,0,11630,4400,295750
156,52,83,0,11734,4600,295750
157,0,89,37,11734,4600,297600
158,0,73,73,11734,4600,301250
159,0,65,65,11734,4600,304500
160,0,74,74,11734,4600,308200
161,0,78,78,11734,4600,312100
162,0,57,57,11734,4600,314950
163,195,53,0,12124,4600,314950
164,126,69,0,12376,4600,314950
165,60,66,0,12496,4800,314950
166,0,60,0,12496,4800,314950
167,0,73,73,12496,4800,318600
168,0,56,56,12496,4800,321400
169,0,55,55,12496,4800,324150
170,0,75,75,12496,4800,327900
171,173,67,0,12842,4800,327900
172,106,67,0,13054,4800,327900
173,29,77,0,13112,5000,327900
174,0,58,29,13112,5000,329350
175,0,52,52,13112,5000,331950
176,0,58,58,13112,5000,334850
177,0,76,76,13112,5000,338650
178,0,92,92,13112,5000,343250
179,0,64,64,13112,5000,346450
180,0,55,55,13112,5000,349200
181,198,73,0,13508,5000,349200
182,129,69,0,13766,5000,349200
183,57,72,0,13880,5200,349200
184,7,50,0,13894,5200,349200
185,0,69,62,13894,5200,352300
186,0,64,64,13894,5200,355500
187,0,69,69,13894,5200,358950
188,0,72,72,13894,5200,362550
189,168,75,0,14230,5200,362550
190,103,65,0,14436,5200,362550
191,28,75,0,14492,5400,362550
192,0,50,22,14492,5400,363650
193,0,67,67,14492,5400,367000
194,0,72,72,14492,5400,370600
