day,inventory,demand,shortage,holding_cost,ordering_cost,shortage_cost
0,153,47,0,306,0,0
1,98,55,0,502,200,0
2,46,52,0,594,200,0
3,0,58,12,594,200,600
4,0,43,43,594,200,2750
5,0,46,46,594,200,5050
6,0,49,49,594,200,7500
7,150,52,0,894,200,7500
8,105,45,0,1104,200,7500
9,56,49,0,1216,400,7500
10,13,43,0,1242,400,7500
11,0,52,39,1242,400,9450
12,0,52,52,1242,400,12050
13,0,46,46,1242,400,14350
14,0,54,54,1242,400,17050
15,204,40,0,1650,400,17050
16,159,45,0,1968,400,17050
17,113,46,0,2194,400,17050
18,62,51,0,2318,600,17050
19,24,38,0,2366,600,17050
20,0,33,9,2366,600,17500
21,0,48,48,2366,600,19900
22,0,58,58,2366,600,22800
23,0,45,45,2366,600,25050
24,0,41,41,2366,600,27100
25,0,56,56,2366,600,29900
26,184,54,0,2734,600,29900
27,128,56,0,2990,600,29900
28,81,47,0,3152,800,29900
29,22,59,0,3196,800,29900
30,0,46,24,3196,800,31100
31,0,46,46,3196,800,33400
32,0,55,55,3196,800,36150
33,0,60,60,3196,800,39150
34,0,40,40,3196,800,41150
35,163,56,0,3522,800,41150
36,107,56,0,3736,800,41150
37,57,50,0,3850,1000,41150
38,11,46,0,3872,1000,41150
39,0,61,50,3872,1000,43650
40,0,48,48,3872,1000,46050
41,0,44,44,3872,1000,48250
42,0,45,45,3872,1000,50500
43,0,63,63,3872,1000,53650
44,190,53,0,4252,1000,53650
45,133,57,0,4518,1000,53650
46,73,60,0,4664,1200,53650
47,27,46,0,4718,1200,53650
48,0,44,17,4718,1200,54500
49,0,48,48,4718,1200,56900
50,0,40,40,4718,1200,58900
51,0,65,65,4718,1200,62150
52,177,50,0,5072,1200,62150
53,108,69,0,5288,1200,62150
54,58,50,0,5404,1400,62150
55,24,34,0,5452,1400,62150
56,0,61,37,5452,1400,64000
57,0,41,41,5452,1400,66050
58,0,54,54,5452,1400,68750
59,0,44,44,5452,1400,70950
60,0,47,47,5452,1400,73300
61,189,53,0,5830,1400,73300
62,150,39,0,6130,1400,73300
63,104,46,0,6338,1400,73300
64,50,54,0,6438,1600,73300
65,0,50,0,6438,1600,73300
66,0,53,53,6438,1600,75950
67,0,54,54,6438,1600,78650
68,0,64,64,6438,1600,81850
69,0,47,47,6438,1600,84200
70,0,45,45,6438,1600,86450
71,0,57,57,6438,1600,89300
72,0,51,51,6438,1600,91850
73,0,39,39,6438,1600,93800
74,0,61,61,6438,1600,96850
75,203,47,0,6844,1600,96850
76,143,60,0,7130,1600,96850
77,90,53,0,7310,1800,96850
78,39,51,0,7388,1800,96850
79,0,53,14,7388,1800,97550
80,0,55,55,7388,1800,100300
81,0,46,46,7388,1800,102600
82,0,53,53,7388,1800,105250
83,0,53,53,7388,1800,107900
84,171,39,0,7730,1800,107900
85,126,45,0,7982,1800,107900
86,66,60,0,8114,2000,107900
87,9,57,0,8132,2000,107900
88,0,52,43,8132,2000,110050
89,0,43,43,8132,2000,112200
90,0,45,45,8132,2000,114450
91,181,53,0,8494,2000,114450
92,119,62,0,8732,2000,114450
93,71,48,0,8874,2200,114450
94,13,58,0,8900,2200,114450
95,0,42,29,8900,2200,115900
96,0,64,64,8900,2200,119100
97,0,51,51,8900,2200,121650
98,188,41,0,9276,2200,121650
99,128,60,0,9532,2200,121650
100,74,54,0,9680,2400,121650
101,27,47,0,9734,2400,121650
102,0,57,30,9734,2400,123150
103,176,50,0,10086,2400,123150
104,119,57,0,10324,2400,123150
105,65,54,0,10454,2600,123150
106,18,47,0,10490,2600,123150
107,0,52,34,10490,2600,124850
108,0,49,49,10490,2600,127300
109,0,45,45,10490,2600,129550
110,0,29,29,10490,2600,131000
111,178,57,0,10846,2600,131000
112,137,41,0,11120,2600,131000
113,81,56,0,11282,2800,131000
114,28,53,0,11338,2800,131000
115,0,34,6,11338,2800,131300
116,0,51,51,11338,2800,133850
117,0,50,50,11338,2800,136350
118,0,57,57,11338,2800,139200
119,0,49,49,11338,2800,141650
120,0,58,58,11338,2800,144550
121,171,48,0,11680,2800,144550
122,129,42,0,11938,2800,144550
123,78,51,0,12094,3000,144550
124,27,51,0,12148,3000,144550
125,0,48,21,12148,3000,145600
126,0,47,47,12148,3000,147950
127,189,33,0,12526,3000,147950
128,130,59,0,12786,3000,147950
129,81,49,0,12948,3200,147950
130,31,50,0,13010,3200,147950
131,0,42,11,13010,3200,148500
132,0,48,48,13010,3200,150900
133,0,53,53,13010,3200,153550
134,0,47,47,13010,3200,155900
135,0,50,50,13010,3200,158400
136,0,53,53,13010,3200,161050
137,182,37,0,13374,3200,161050
138,118,64,0,13610,3200,161050
139,70,48,0,13750,3400,161050
140,6,64,0,13762,3400,161050
141,0,43,37,13762,3400,162900
142,0,39,39,13762,3400,164850
143,0,39,39,13762,3400,166800
144,0,37,37,13762,3400,168650
145,0,58,58,13762,3400,171550
146,0,57,57,13762,3400,174400
147,0,40,40,13762,3400,176400
148,0,53,53,13762,3400,179050
149,0,55,55,13762,3400,181800
150,185,45,0,14132,3400,181800
151,130,55,0,14392,3400,181800
152,83,47,0,14558,3600,181800
153,36,47,0,14630,3600,181800
154,0,59,23,14630,3600,182950
155,162,55,0,14954,3600,182950
156,112,50,0,15178,3600,182950
157,66,46,0,15310,3800,182950
158,0,66,0,15310,3800,182950
159,0,53,53,15310,3800,185600
160,0,45,45,15310,3800,187850
161,0,54,54,15310,3800,190550
162,0,39,39,15310,3800,192500
163,0,35,35,15310,3800,194250
164,185,49,0,15680,3800,194250
165,138,47,0,15956,3800,194250
166,97,41,0,16150,4000,194250
167,45,52,0,16240,4000,194250
168,7,38,0,16254,4000,194250
169,0,54,47,16254,4000,196600
170,0,47,47,16254,4000,198950
171,0,47,47,16254,4000,201300
172,147,56,0,16548,4000,201300
173,99,48,0,16746,4200,201300
174,64,35,0,16874,4200,201300
175,24,40,0,16922,4200,201300
176,0,55,31,16922,4200,202850
177,0,69,69,16922,4200,206300
178,0,45,45,16922,4200,208550
179,164,37,0,17250,4200,208550
180,111,53,0,17472,4200,208550
181,62,49,0,17596,4400,208550
182,10,52,0,17616,4400,208550
183,0,33,23,17616,4400,209700
184,0,49,49,17616,4400,212150
185,193,45,0,18002,4400,212150
186,144,49,0,18290,4400,212150
187,92,52,0,18474,4600,212150
188,46,46,0,18566,4600,212150
189,0,54,8,18566,4600,212550
