day,inventory,demand,shortage,holding_cost,ordering_cost,shortage_cost
0,153,47,0,306,0,0
1,98,55,0,502,200,0
2,46,52,0,594,200,0
3,0,58,12,594,200,600
4,0,43,43,594,200,2750
5,0,46,46,594,200,5050
6,0,49,49,594,200,7500
7,0,52,52,594,200,10100
8,0,45,45,594,200,12350
9,0,49,49,594,200,14800
10,159,43,0,912,200,14800
11,107,52,0,1126,200,14800
12,55,52,0,1236,400,14800
13,9,46,0,1254,400,14800
14,0,54,45,1254,400,17050
15,0,40,40,1254,400,19050
16,0,45,45,1254,400,21300
17,0,46,46,1254,400,23600
18,0,51,51,1254,400,26150
19,0,64,64,1254,400,29350
20,0,52,52,1254,400,31950
21,207,38,0,1668,400,31950
22,174,33,0,2016,400,31950
23,126,48,0,2268,400,31950
24,68,58,0,2404,600,31950
25,27,41,0,2458,600,31950
26,0,56,29,2458,600,33400
27,0,54,54,2458,600,36100
28,0,56,56,2458,600,38900
29,0,47,47,2458,600,41250
30,0,59,59,2458,600,44200
31,0,46,46,2458,600,46500
32,0,46,46,2458,600,48800
33,0,55,55,2458,600,51550
34,172,60,0,2802,600,51550
35,132,40,0,3066,600,51550
36,76,56,0,3218,800,51550
37,20,56,0,3258,800,51550
38,0,50,30,3258,800,53050
39,0,46,46,3258,800,55350
40,0,61,61,3258,800,58400
41,0,48,48,3258,800,60800
42,180,44,0,3618,800,60800
43,135,45,0,3888,800,60800
44,72,63,0,4032,1000,60800
45,15,57,0,4062,1000,60800
46,0,60,45,4062,1000,63050
47,0,46,46,4062,1000,65350
48,0,44,44,4062,1000,67550
49,0,48,48,4062,1000,69950
50,0,40,40,4062,1000,71950
51,0,65,65,4062,1000,75200
52,0,50,50,4062,1000,77700
53,0,69,69,4062,1000,81150
54,0,50,50,4062,1000,83650
55,183,45,0,4428,1000,83650
56,131,52,0,4690,1000,83650
57,97,34,0,4884,1200,83650
58,36,61,0,4956,1200,83650
59,0,41,5,4956,1200,83900
60,0,54,54,4956,1200,86600
61,0,44,44,4956,1200,88800
62,0,47,47,4956,1200,91150
63,0,53,53,4956,1200,93800
64,0,39,39,4956,1200,95750
65,0,46,46,4956,1200,98050
66,0,54,54,4956,1200,100750
67,153,50,0,5262,1200,100750
68,100,53,0,5462,1200,100750
69,46,54,0,5554,1400,100750
70,1,45,0,5556,1400,100750
71,0,57,56,5556,1400,103550
72,0,51,51,5556,1400,106100
73,0,39,39,5556,1400,108050
74,0,61,61,5556,1400,111100
75,0,47,47,5556,1400,113450
76,0,60,60,5556,1400,116450
77,201,53,0,5958,1400,116450
78,149,52,0,6256,1400,116450
79,110,39,0,6476,1400,116450
80,59,51,0,6594,1600,116450
81,6,53,0,6606,1600,116450
82,0,55,49,6606,1600,118900
83,0,46,46,6606,1600,121200
84,0,53,53,6606,1600,123850
85,0,53,53,6606,1600,126500
86,0,39,39,6606,1600,128450
87,0,45,45,6606,1600,130700
88,0,60,60,6606,1600,133700
89,184,57,0,6974,1600,133700
90,132,52,0,7238,1600,133700
91,89,43,0,7416,1800,133700
92,27,62,0,7470,1800,133700
93,0,48,21,7470,1800,134750
94,0,45,45,7470,1800,137000
95,0,58,58,7470,1800,139900
96,0,42,42,7470,1800,142000
97,0,64,64,7470,1800,145200
98,160,51,0,7790,1800,145200
99,119,41,0,8028,1800,145200
100,59,60,0,8146,2000,145200
101,5,54,0,8156,2000,145200
102,0,47,42,8156,2000,147300
103,0,57,57,8156,2000,150150
104,0,50,50,8156,2000,152650
105,0,57,57,8156,2000,155500
106,0,54,54,8156,2000,158200
107,0,60,60,8156,2000,161200
108,0,47,47,8156,2000,163550
109,0,52,52,8156,2000,166150
110,192,49,0,8540,2000,166150
111,147,45,0,8834,2000,166150
112,118,29,0,9070,2000,166150
113,61,57,0,9192,2200,166150
114,5,56,0,9202,2200,166150
115,0,53,48,9202,2200,168550
116,0,34,34,9202,2200,170250
117,0,51,51,9202,2200,172800
118,0,50,50,9202,2200,175300
119,0,57,57,9202,2200,178150
120,0,49,49,9202,2200,180600
121,0,58,58,9202,2200,183500
122,0,48,48,9202,2200,185900
123,197,42,0,9596,2200,185900
124,146,51,0,9888,2200,185900
125,93,53,0,10074,2400,185900
126,42,51,0,10158,2400,185900
127,0,48,6,10158,2400,186200
128,0,47,47,10158,2400,188550
129,0,33,33,10158,2400,190200
130,0,59,59,10158,2400,193150
131,0,49,49,10158,2400,195600
132,157,50,0,10472,2400,195600
133,115,42,0,10702,2400,195600
134,67,48,0,10836,2600,195600
135,20,47,0,10876,2600,195600
136,0,50,30,10876,2600,197100
137,0,53,53,10876,2600,199750
138,0,37,37,10876,2600,201600
139,0,64,64,10876,2600,204800
140,0,48,48,10876,2600,207200
141,0,49,49,10876,2600,209650
142,0,64,64,10876,2600,212850
143,190,43,0,11256,2600,212850
144,151,39,0,11558,2600,212850
145,112,39,0,11782,2600,212850
146,75,37,0,11932,2800,212850
147,17,58,0,11966,2800,212850
148,0,57,40,11966,2800,214850
149,0,40,40,11966,2800,216850
150,0,53,53,11966,2800,219500
151,0,55,55,11966,2800,222250
152,0,45,45,11966,2800,224500
153,0,55,55,11966,2800,227250
154,0,47,47,11966,2800,229600
155,0,47,47,11966,2800,231950
156,166,59,0,12298,2800,231950
157,111,55,0,12520,2800,231950
158,61,50,0,12642,3000,231950
159,13,48,0,12668,3000,231950
160,0,61,48,12668,3000,234350
161,0,66,66,12668,3000,237650
162,0,53,53,12668,3000,240300
163,0,45,45,12668,3000,242550
164,0,54,54,12668,3000,245250
165,0,39,39,12668,3000,247200
166,0,35,35,12668,3000,248950
167,0,49,49,12668,3000,251400
168,0,47,47,12668,3000,253750
169,198,41,0,13064,3000,253750
170,146,52,0,13356,3000,253750
171,108,38,0,13572,3000,253750
172,54,54,0,13680,3200,253750
173,7,47,0,13694,3200,253750
174,0,47,40,13694,3200,255750
175,0,56,56,13694,3200,258550
176,0,48,48,13694,3200,260950
177,0,40,40,13694,3200,262950
178,0,35,35,13694,3200,264700
179,0,40,40,13694,3200,266700
180,0,55,55,13694,3200,269450
181,177,69,0,14048,3200,269450
182,132,45,0,14312,3200,269450
183,95,37,0,14502,3400,269450
184,42,53,0,14586,3400,269450
185,0,49,7,14586,3400,269800
186,0,52,52,14586,3400,272400
187,0,33,33,14586,3400,274050
188,0,49,49,14586,3400,276500
189,0,45,45,14586,3400,278750
