day,inventory,demand,shortage,holding_cost,ordering_cost,shortage_cost
0,172,28,0,344,0,0
1,138,34,0,620,0,0
2,115,23,0,850,0,0
3,83,32,0,1016,200,0
4,59,24,0,1134,200,0
5,32,27,0,1198,200,0
6,3,29,0,1204,200,0
7,0,32,29,1204,200,1450
8,0,26,26,1204,200,2750
9,188,29,0,1580,200,2750
10,163,25,0,1906,200,2750
11,132,31,0,2170,200,2750
12,100,32,0,2370,200,2750
13,73,27,0,2516,400,2750
14,40,33,0,2596,400,2750
15,18,22,0,2632,400,2750
16,0,26,8,2632,400,3150
17,0,27,27,2632,400,4500
18,0,31,31,2632,400,6050
19,0,21,21,2632,400,7100
20,0,17,17,2632,400,7950
21,199,28,0,3030,400,7950
22,163,36,0,3356,400,7950
23,137,26,0,3630,400,7950
24,114,23,0,3858,400,7950
25,79,35,0,4016,600,7950
26,44,35,0,4104,600,7950
27,16,28,0,4136,600,7950
28,0,37,21,4136,600,9000
29,0,27,27,4136,600,10350
30,0,27,27,4136,600,11700
31,0,34,34,4136,600,13400
32,0,38,38,4136,600,15300
33,0,22,22,4136,600,16400
34,187,34,0,4510,600,16400
35,152,35,0,4814,600,16400
36,122,30,0,5058,600,16400
37,95,27,0,5248,800,16400
38,56,39,0,5360,800,16400
39,28,28,0,5416,800,16400
40,3,25,0,5422,800,16400
41,0,26,23,5422,800,17550
42,0,40,40,5422,800,19550
43,0,32,32,5422,800,21150
44,0,35,35,5422,800,22900
45,167,38,0,5756,800,22900
46,140,27,0,6036,800,22900
47,115,25,0,6266,800,22900
48,86,29,0,6438,1000,22900
49,45,41,0,6528,1000,22900
50,15,30,0,6558,1000,22900
51,0,28,13,6558,1000,23550
52,0,44,44,6558,1000,25750
53,0,30,30,6558,1000,27250
54,188,26,0,6934,1000,27250
55,156,32,0,7246,1000,27250
56,138,18,0,7522,1000,27250
57,99,39,0,7720,1200,27250
58,76,23,0,7872,1200,27250
59,43,33,0,7958,1200,27250
60,18,25,0,7994,1200,27250
61,0,28,10,7994,1200,27750
62,169,32,0,8332,1200,27750
63,142,27,0,8616,1200,27750
64,109,33,0,8834,1200,27750
65,79,30,0,8992,1400,27750
66,46,33,0,9084,1400,27750
67,5,41,0,9094,1400,27750
68,0,27,22,9094,1400,28850
69,195,26,0,9484,1400,28850
70,159,36,0,9802,1400,28850
71,129,30,0,10060,1400,28850
72,91,38,0,10242,1600,28850
73,64,27,0,10370,1600,28850
74,32,32,0,10434,1600,28850
75,8,24,0,10450,1600,28850
76,0,32,24,10450,1600,30050
77,0,22,22,10450,1600,31150
78,0,31,31,10450,1600,32700
79,177,32,0,10804,1600,32700
80,143,34,0,11090,1600,32700
81,116,27,0,11322,1600,32700
82,84,32,0,11490,1800,32700
83,63,21,0,11616,1800,32700
84,37,26,0,11690,1800,32700
85,0,38,1,11690,1800,32750
86,0,35,35,11690,1800,34500
87,0,31,31,11690,1800,36050
88,0,24,24,11690,1800,37250
89,0,26,26,11690,1800,38550
90,184,32,0,12058,1800,38550
91,145,39,0,12348,1800,38550
92,116,29,0,12580,1800,38550
93,90,26,0,12760,2000,38550
94,53,37,0,12866,2000,38550
