day,inventory,demand,shortage,holding_cost,ordering_cost,shortage_cost
0,153,47,0,306,0,0
1,98,55,0,502,200,0
2,46,52,0,594,200,0
3,0,58,12,594,200,600
4,159,43,0,912,200,600
5,113,46,0,1138,200,600
6,64,49,0,1266,400,600
7,12,52,0,1290,400,600
8,0,45,33,1290,400,2250
9,187,49,0,1664,400,2250
10,144,43,0,1952,400,2250
11,92,52,0,2136,600,2250
12,254,46,0,2644,600,2250
13,200,54,0,3044,600,2250
14,160,40,0,3364,600,2250
15,115,45,0,3594,600,2250
16,69,46,0,3732,800,2250
17,18,51,0,3768,800,2250
18,0,64,46,3768,800,4550
19,0,52,52,3768,800,7150
20,193,38,0,4154,800,7150
21,160,33,0,4474,800,7150
22,112,48,0,4698,800,7150
23,54,58,0,4806,1000,7150
24,13,41,0,4832,1000,7150
25,0,56,43,4832,1000,9300
26,0,54,54,4832,1000,12000
27,190,56,0,5212,1000,12000
28,143,47,0,5498,1000,12000
29,84,59,0,5666,1200,12000
30,254,46,0,6174,1200,12000
31,208,46,0,6590,1200,12000
32,153,55,0,6896,1200,12000
33,93,60,0,7082,1400,12000
34,37,56,0,7156,1400,12000
35,0,56,19,7156,1400,12950
36,0,50,50,7156,1400,15450
37,161,46,0,7478,1400,15450
38,100,61,0,7678,1400,15450
39,52,48,0,7782,1600,15450
40,8,44,0,7798,1600,15450
41,211,45,0,8220,1600,15450
42,148,63,0,8516,1600,15450
43,95,53,0,8706,1800,15450
44,35,60,0,8776,1800,15450
45,194,46,0,9164,1800,15450
46,150,44,0,9464,1800,15450
47,102,48,0,9668,1800,15450
48,62,40,0,9792,2000,15450
49,0,65,3,9792,2000,15600
50,0,50,50,9792,2000,18100
51,0,69,69,9792,2000,21550
52,0,50,50,9792,2000,24050
53,193,45,0,10178,2000,24050
54,141,52,0,10460,2000,24050
55,107,34,0,10674,2000,24050
56,46,61,0,10766,2200,24050
57,0,54,8,10766,2200,24450
58,0,44,44,10766,2200,26650
59,207,47,0,11180,2200,26650
60,154,53,0,11488,2200,26650
61,115,39,0,11718,2200,26650
62,69,46,0,11856,2400,26650
63,246,54,0,12348,2400,26650
64,196,50,0,12740,2400,26650
65,143,53,0,13026,2400,26650
66,89,54,0,13204,2600,26650
67,44,45,0,13292,2600,26650
68,198,57,0,13688,2600,26650
69,147,51,0,13982,2600,26650
70,108,39,0,14198,2600,26650
71,47,61,0,14292,2800,26650
72,0,47,0,14292,2800,26650
73,0,60,60,14292,2800,29650
74,200,53,0,14692,2800,29650
75,148,52,0,14988,2800,29650
76,109,39,0,15206,2800,29650
77,58,51,0,15322,3000,29650
78,245,55,0,15812,3000,29650
79,199,46,0,16210,3000,29650
80,146,53,0,16502,3000,29650
81,93,53,0,16688,3200,29650
82,54,39,0,16796,3200,29650
83,9,45,0,16814,3200,29650
84,0,60,51,16814,3200,32200
85,0,57,57,16814,3200,35050
86,155,52,0,17124,3200,35050
87,112,43,0,17348,3200,35050
88,67,45,0,17482,3400,35050
89,238,62,0,17958,3400,35050
90,190,48,0,18338,3400,35050
91,145,45,0,18628,3400,35050
92,87,58,0,18802,3600,35050
93,45,42,0,18892,3600,35050
94,0,64,19,18892,3600,36000
95,0,51,51,18892,3600,38550
96,172,41,0,19236,3600,38550
97,112,60,0,19460,3600,38550
98,58,54,0,19576,3800,38550
99,243,57,0,20062,3800,38550
100,193,50,0,20448,3800,38550
101,136,57,0,20720,3800,38550
102,82,54,0,20884,4000,38550
103,22,60,0,20928,4000,38550
104,193,47,0,21314,4000,38550
105,141,52,0,21596,4000,38550
106,92,49,0,21780,4200,38550
107,63,29,0,21906,4200,38550
108,6,57,0,21918,4200,38550
109,0,41,35,21918,4200,40300
110,0,56,56,21918,4200,43100
111,155,53,0,22228,4200,43100
112,121,34,0,22470,4200,43100
113,70,51,0,22610,4400,43100
114,250,50,0,23110,4400,43100
115,193,57,0,23496,4400,43100
116,144,49,0,23784,4400,43100
117,86,58,0,23956,4600,43100
118,258,42,0,24472,4600,43100
119,207,51,0,24886,4600,43100
120,154,53,0,25194,4600,43100
121,103,51,0,25400,4600,43100
122,55,48,0,25510,4800,43100
123,8,47,0,25526,4800,43100
124,0,33,25,25526,4800,44350
125,186,59,0,25898,4800,44350
126,137,49,0,26172,4800,44350
127,87,50,0,26346,5000,44350
128,39,48,0,26424,5000,44350
129,0,53,14,26424,5000,45050
130,166,47,0,26756,5000,45050
131,116,50,0,26988,5000,45050
132,63,53,0,27114,5200,45050
133,263,37,0,27640,5200,45050
134,199,64,0,28038,5200,45050
135,151,48,0,28340,5200,45050
136,102,49,0,28544,5200,45050
137,38,64,0,28620,5400,45050
138,1,37,0,28622,5400,45050
139,0,58,57,28622,5400,47900
140,0,57,57,28622,5400,50750
141,222,40,0,29066,5400,50750
142,169,53,0,29404,5400,50750
143,114,55,0,29632,5400,50750
144,69,45,0,29770,5600,50750
145,14,55,0,29798,5600,50750
146,198,47,0,30194,5600,50750
147,151,47,0,30496,5600,50750
148,92,59,0,30680,5800,50750
149,42,50,0,30764,5800,50750
150,0,46,4,30764,5800,50950
151,0,48,48,30764,5800,53350
152,0,61,61,30764,5800,56400
153,142,66,0,31048,5800,56400
154,89,53,0,31226,6000,56400
155,44,45,0,31314,6000,56400
156,0,54,10,31314,6000,56900
157,0,39,39,31314,6000,58850
158,0,35,35,31314,6000,60600
159,162,49,0,31638,6000,60600
160,115,47,0,31868,6000,60600
161,74,41,0,32016,6200,60600
162,36,38,0,32088,6200,60600
163,208,54,0,32504,6200,60600
164,161,47,0,32826,6200,60600
165,114,47,0,33054,6200,60600
166,58,56,0,33170,6400,60600
167,10,48,0,33190,6400,60600
168,0,40,30,33190,6400,62100
169,0,35,35,33190,6400,63850
170,202,40,0,33594,6400,63850
171,147,55,0,33888,6400,63850
172,78,69,0,34044,6600,63850
173,41,37,0,34126,6600,63850
174,0,53,12,34126,6600,64450
175,0,49,49,34126,6600,66900
176,0,52,52,34126,6600,69500
177,189,33,0,34504,6600,69500
178,140,49,0,34784,6600,69500
179,95,45,0,34974,6800,69500
180,46,49,0,35066,6800,69500
181,0,52,6,35066,6800,69800
182,151,54,0,35368,6800,69800
183,105,46,0,35578,6800,69800
184,51,54,0,35680,7000,69800
185,237,63,0,36154,7000,69800
186,204,33,0,36562,7000,69800
187,157,47,0,36876,7000,69800
188,105,52,0,37086,7000,69800
